attempt,status,description,strategy_sha256,days,total_return,annual_return,sharpe,max_drawdown,mean_turnover
0001,keep,"Baseline: buy and hold SPX at 100% weight, no tuning; execution is next-open to following-open with 0.05% buy/sell costs.",b024309ca48480e2d480d49149a606aa3343dc7986db116813a581aaffe5bf35,754,0.1856184302443582,0.05855564884231668,0.38009334882608753,0.3223653655578401,0.002652519893899204
0002,discard,Cash reference: verify zero-return zero-drawdown feasible anchor; no tuning.,01332fa4ced6e85cc23f5c15fc60678046cafe22aa8bdacaaff575fc2c9bc492,754,0.0,0.0,0.0,0.0,0
0003,discard,Long-horizon trend: hold above 200-session SMA to avoid sustained declines. Method inspiration Faber 2013-02-01 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461 ; adapt monthly trend concept to daily signals.,82ea75be65863256b0909a1a334e35219fe5f2e74989c5c0a5ee51b7a6b016aa,754,0.12484239332800584,0.04010152343790874,0.3758426678411615,0.1929482333181961,0.03183023872679045
0004,discard,"Medium-horizon trend: SMA50 can exit declines earlier, with expected whipsaw cost relative to slow trend; distinct horizon hypothesis.",0f0a73676e6e546bf42eca83ff62e388d7959034ac2d33506bb9e6ae7b01a0e5,754,0.10011279885351887,0.032402490326451705,0.3129987345520143,0.19377264082946488,0.06896551724137931
0005,discard,Trend confirmation: require price above SMA200 and SMA50 above SMA200; attempt to reduce false recoveries.,d1a73a3006e27512775a602625152a93144def96e426221c4fe7ffc8db689b6f,754,0.12719841620944994,0.04082911924700672,0.40423917017379213,0.1901572541541211,0.015915119363395226
0006,discard,Time-series momentum: positive 126-session trailing return signals persistence; method source AQR 2012-05-01 https://www.aqr.com/Insights/Research/Journal-Article/Time-Series-Momentum .,3083457fd7275a5281a94e3a8846362b75b6723e59f41f2517fee3ecb5dbbde6,754,0.061539344080930425,0.020160014121190617,0.2225469136210113,0.19645039274687015,0.03713527851458886
0007,discard,Multi-horizon momentum: average positive signs over 21/63/126/251 sessions for graded risk allocation rather than a single binary trend.,52a97be1c0437883c4ef62c1ce57cba957387107371b8e1e5d7304b51c445efa,754,0.04174230961957082,0.013761524220170074,0.17619844789078107,0.16643096292831905,0.046051274080855006
0008,discard,"Volatility-managed exposure: cap 20-day realized annual volatility near 15%, no leverage. Source Moreira/Muir April 2016 https://www.nber.org/papers/w22208 ; adapt mechanism to constrained equity/cash exposure.",7796ba375d56168d46cf5a723cb4acbed3a11849f0294db3842a5378479f3e2d,754,0.14319728644902585,0.04574336438211701,0.3964923673838693,0.2065354272838863,0.01811178435949739
0009,discard,Combine slow trend with volatility scaling: expect large downside reduction at possible cost to recovery participation; Faber 2013 and Moreira/Muir 2016 methods.,9829cfed248fa2dfc77bea9550195d4f98712ca96f6164af2365769a4f74fbde,754,0.1313043100872413,0.04209470071725385,0.44809838169999827,0.14662052949772808,0.02752691142566324
0010,discard,"Conditional short-term reversal: in a positive SMA200 regime buy RSI2 below 10, exit on RSI2 above 60 or regime break; state uses only earlier observations.",c7359762da6b88235bd5d24bea555e5c2d877307ac09c3898db29bc1529acb32,754,0.017865204566389403,0.005935702491817407,0.1256453938801089,0.11038111742578194,0.050397877984084884
0011,discard,Bollinger reversal: buy below 20-session lower two-sigma band and exit at moving average; test transitory overshoot hypothesis without calendar assumptions.,8b562301fc953becbe14c2a7055518308ed73e1fde9440978ce410a821fddaf2,754,0.02938356907504236,0.009725980836417625,0.13933808504976347,0.2708160393903002,0.034482758620689655
