attempt,status,description,strategy_sha256,days,total_return,annual_return,sharpe,max_drawdown,mean_turnover
0001,keep,Baseline 1: all cash; verify feasibility and start the 24-hour session clock.,22786ea6595f6da87000c406a898250d5340a46cca4cd4bd90cc0429d6657617,726,0.0,0.0,0.0,0.0,0
0002,discard,Reference: full index exposure throughout validation; identical next-open execution and costs.,41cbf1d366a3ee25a496948feec1be173bf46bc23f272223874149082e4be224,726,-0.06996873687369032,-0.024863832738127978,-0.008642359827688401,0.40822952590541384,0.0027548209366391185
0003,discard,"Trend hypothesis: hold when close exceeds SMA20, otherwise cash.",c077a2e6267dd495057389f99ed674896f29d156a192db41fb4331f1a4d62d72,726,-0.23972849871284108,-0.09074990660590854,-0.5420204304228822,0.30366086310540785,0.13774104683195593
0004,discard,Trend hypothesis: SMA60 filter reduces short-term whipsaws.,2615bdb4a83a1c4670326e695f9d1240deff9f80af89ac36404d5217a5548df2,726,-0.15228331874942147,-0.055731951784471656,-0.29927017635443565,0.2585306992148457,0.07988980716253444
0005,discard,Trend hypothesis: SMA120 filter captures longer market regimes.,c46a444ba2988c6f66868109e6210a6604507669f976cffd852c62ce7c0c220e,726,-0.18448653975818963,-0.06834077690202556,-0.39277617963303507,0.3048082165351752,0.049586776859504134
0006,discard,Dual moving average hypothesis: SMA10 above SMA60 confirms positive trend.,8cee3b09e114a12e35c27fc35995275d0aa3e8dd27e76111c0302b0a70cd76cb,726,-0.08489745732122,-0.030325739087310177,-0.10453749612017695,0.2526049098892752,0.027548209366391185
0007,discard,Momentum hypothesis: positive 20-session return signals persistent directional movement.,be1c931677431257669f2be59621962b53a18139c5ed56ee06558b609e9f6b73,726,-0.06482500081686016,-0.022995183112820117,-0.06886938095453238,0.23163171979066655,0.10743801652892562
0008,keep,MACD hypothesis: positive DIF and positive histogram jointly confirm trend acceleration.,3a5d3a0f3c91dafff3ad3526551696d14b04e6943cf91dfa9a9741199809bdf9,726,0.045680157778486885,0.015625253563462005,0.1929850078026776,0.21002471383265653,0.05785123966942149
0009,keep,"Reversal hypothesis: RSI14 below30 enters, above55 exits; state follows observable decisions only.",be26ed854db33b98cf2f853f111c7ee88399c77ae743986662f31725375e004e,726,0.1705991951019976,0.05619717703082405,0.56361934655659,0.1628118828210784,0.013774104683195593
0010,discard,Trend plus risk sizing: SMA60 gate and 15% annual volatility exposure cap.,6ea59ea73acbc79c500b1c6bfc22288d5ceab272960a598d4c876cfcdd5c00a9,726,-0.09968772998956155,-0.03579466585853164,-0.21246166068836653,0.22492378925509826,0.07786477379001708
0011,discard,Hybrid hypothesis: SMA60 trend OR oversold RSI14<25 permits recovery entries.,84c3c3457b581dc2d8687e90f3a922920982c480c6f64e211b5d42c509cec3fb,726,-0.06557708584418875,-0.02326798585562173,-0.06907155834586313,0.2688182322827716,0.09090909090909091
